Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Giannis Antetokounmpo,30,MIL,PF,26,26,35.1,12.7,21,0.606,0.2,0.7,0.222,12.5,20.3,0.619,0.609,6.8,11.3,0.603,2,9.6,11.7,6,0.8,1.5,3.3,2.5,32.4,
2,Shai Gilgeous-Alexander,26,OKC,PG,34,34,34.4,11,21,0.525,2.1,6,0.356,8.9,15,0.593,0.576,7,7.9,0.885,0.8,4.6,5.4,6.1,2,1.1,2.6,2.1,31.2,
3,Nikola Jokić,29,DEN,C,30,30,36.9,11.8,21.3,0.553,2.3,4.7,0.479,9.5,16.5,0.575,0.607,5.2,6.5,0.805,3.5,9.7,13.2,9.7,1.7,0.6,3.3,2.1,31,
4,LaMelo Ball,23,CHO,PG,22,22,33.7,10.5,24.6,0.425,4.5,13,0.346,6,11.6,0.514,0.517,4.7,5.5,0.844,0.9,4.5,5.3,7.4,1.3,0.2,4.1,3.7,30.1,
5,Paolo Banchero,22,ORL,PF,5,5,36.4,9.6,19.4,0.495,2.2,6.4,0.344,7.4,13,0.569,0.552,7.6,11.8,0.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29,
6,Jayson Tatum,26,BOS,PF,32,32,36.3,9.4,20.2,0.464,3.9,10.7,0.37,5.4,9.6,0.569,0.561,5.5,6.9,0.796,0.6,8.8,9.4,5.6,1.3,0.4,2.8,2.5,28.2,
7,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2,0.4,3.4,2.6,28.1,
8,Kevin Durant,36,PHO,PF,22,22,36,9.8,19.1,0.512,2.4,5.9,0.411,7.4,13.2,0.557,0.575,5.8,6.9,0.836,0.5,6,6.5,3.8,0.8,1.3,3.3,1.8,27.7,
9,De'Aaron Fox,27,SAC,PG,35,35,37.3,9.9,20.3,0.486,2,6.3,0.321,7.8,14,0.56,0.536,4.9,6.1,0.808,1.1,3.9,4.9,6.2,1.6,0.3,3.3,2.8,26.7,
10,Victor Wembanyama,21,SAS,C,29,29,32.9,9.3,19.2,0.487,3.3,9.2,0.362,6,10,0.602,0.574,3.9,4.4,0.875,1.9,8.4,10.3,3.9,1,3.9,3.6,2.1,25.9,
