item_id,order_id,product_id,quantity,total_price
1,1,14,1,99.72
2,1,30,4,1980.48
3,1,2,1,211.02
4,2,50,4,1940.8
5,3,36,4,2591.76
6,3,36,3,1943.82
7,4,9,4,2605.44
8,4,5,4,172.96
9,4,35,2,397.32
10,4,45,4,1209.44
11,5,22,2,111.48
12,5,42,2,424.74
13,5,48,1,139.22
14,5,34,3,1662.0
15,6,16,3,1472.73
16,6,24,1,687.15
17,6,26,3,1547.49
18,7,33,4,922.24
19,7,11,2,1129.1
20,7,7,4,1831.08
21,7,18,4,3116.12
22,7,22,3,167.22
23,8,23,4,2491.96
24,8,13,4,3066.52
25,8,39,3,557.55
26,8,21,2,940.66
27,8,39,2,371.7
28,9,20,4,2667.76
29,9,13,1,766.63
30,10,28,4,733.68
31,10,19,4,325.84
32,10,28,2,366.84
33,10,21,4,1881.32
34,11,37,3,686.52
35,11,47,1,609.51
36,12,49,4,2551.28
37,12,30,1,495.12
38,12,41,2,262.88
39,12,1,4,158.04
40,12,11,2,1129.1
41,13,44,3,2160.9
42,13,25,3,949.5
43,13,11,4,2258.2
44,13,33,1,230.56
45,14,45,4,1209.44
46,14,27,3,440.61
47,14,45,4,1209.44
48,14,11,1,564.55
49,14,13,1,766.63
50,15,7,2,915.54
51,15,26,1,515.83
52,15,22,4,222.96
53,16,47,4,2438.04
54,17,1,1,39.51
55,17,9,1,651.36
56,17,28,3,550.26
57,18,11,3,1693.65
58,18,34,3,1662.0
59,18,27,4,587.48
60,19,44,4,2881.2
61,19,6,2,402.96
62,19,27,2,293.74
63,19,36,2,1295.88
64,19,48,1,139.22
65,20,28,2,366.84
66,20,10,4,2447.48
67,20,42,2,424.74
68,20,2,2,422.04
69,20,40,4,1314.36
70,21,13,1,766.63
71,21,44,4,2881.2
72,21,12,3,710.22
73,22,22,4,222.96
74,23,14,3,299.16
75,23,18,4,3116.12
76,23,5,3,129.72
77,23,31,4,1746.52
78,23,15,3,286.32
79,24,18,4,3116.12
80,24,21,1,470.33
81,24,9,2,1302.72
82,24,9,4,2605.44
83,25,39,1,185.85
84,25,38,4,2929.0
85,25,14,3,299.16
86,26,18,1,779.03
87,26,36,4,2591.76
88,26,24,3,2061.45
89,26,49,2,1275.64
90,26,46,3,1252.29
91,27,39,3,557.55
92,27,49,2,1275.64
93,28,48,3,417.66
94,29,19,3,244.38
95,30,30,3,1485.36
96,30,48,4,556.88
97,30,38,2,1464.5
98,31,9,3,1954.08
99,31,17,3,1767.57
100,32,23,3,1868.97
101,32,13,3,2299.89
102,32,6,1,201.48
103,32,16,4,1963.64
104,33,32,2,294.9
105,33,11,4,2258.2
106,34,49,4,2551.28
107,35,10,1,611.87
108,35,39,4,743.4
109,35,30,3,1485.36
110,36,14,4,398.88
111,36,43,3,1808.01
112,36,22,1,55.74
113,36,24,2,1374.3
114,36,27,4,587.48
115,37,38,3,2196.75
116,37,33,2,461.12
117,37,6,1,201.48
118,37,37,4,915.36
119,37,33,3,691.68
120,38,24,2,1374.3
121,39,18,3,2337.09
122,40,30,1,495.12
123,41,42,2,424.74
124,41,16,4,1963.64
125,41,3,4,2377.8
126,41,1,3,118.53
127,41,22,4,222.96
128,42,29,4,2269.68
129,43,10,1,611.87
130,43,3,3,1783.35
131,43,15,2,190.88
132,44,7,3,1373.31
133,44,16,1,490.91
134,45,45,3,907.08
135,45,25,1,316.5
136,45,37,4,915.36
137,45,24,3,2061.45
138,45,28,2,366.84
139,46,27,1,146.87
140,46,30,2,990.24
141,46,24,1,687.15
142,46,49,1,637.82
143,47,33,2,461.12
144,47,44,2,1440.6
145,48,9,2,1302.72
146,48,39,2,371.7
147,48,35,2,397.32
148,48,16,3,1472.73
149,48,14,2,199.44
150,49,29,2,1134.84
